screen_name,Label,followers_count,friends_count
104boild,104boild,3665.0,3641.0
AapRajasthan_,AapRajasthan_,30.0,391.0
ActuallyD0NG,ActuallyD0NG,415.0,457.0
AdinaPetralito,AdinaPetralito,871.0,51.0
Adrian_in_NYC,Adrian_in_NYC,857.0,435.0
Ahmed2I3h44,Ahmed2I3h44,7610.0,300.0
AlexBBooster,AlexBBooster,135597.0,102789.0
Alma_Libre5,Alma_Libre5,248.0,290.0
AlubuMurs,AlubuMurs,23.0,113.0
Amai_Sakura,Amai_Sakura,77.0,63.0
Anarchox666,Anarchox666,414.0,347.0
Ankulix,Ankulix,102.0,54.0
AnnabelAnnabel5,AnnabelAnnabel5,101.0,99.0
AnwarNillufary,AnwarNillufary,24.0,227.0
ArapDoyo,ArapDoyo,6521.0,1028.0
ArdentConscript,ArdentConscript,1896.0,1437.0
Armand_Vamp,Armand_Vamp,330.0,157.0
Artimus_Gray,Artimus_Gray,30.0,162.0
Au_ShiRa,Au_ShiRa,866.0,2533.0
Azou1er,Azou1er,2026.0,378.0
BallsOnY0u,BallsOnY0u,7169.0,6813.0
BanishedArcher,BanishedArcher,427.0,352.0
BenjaminNorton,BenjaminNorton,37724.0,491.0
Biggy5ingh,Biggy5ingh,702.0,1231.0
BloodyDelusions,BloodyDelusions,48.0,44.0
BondGiorgio,BondGiorgio,23.0,210.0
CECHR_UoD,CECHR_UoD,128248.0,86026.0
CWBAntifa,CWBAntifa,213.0,247.0
CelebrainLTD,CelebrainLTD,212079.0,37970.0
ChaoticCannibal,ChaoticCannibal,214.0,152.0
CitronCockatoo,CitronCockatoo,206.0,94.0
CrowdCBoost,CrowdCBoost,6070.0,6.0
DRomaround2,DRomaround2,35.0,591.0
DaFeenom,DaFeenom,2943.0,487.0
DaPeaple,DaPeaple,2726.0,4526.0
DaniLmao,DaniLmao,2025.0,385.0
DarinDetwiler,DarinDetwiler,128.0,105.0
DesMchlmcgnn,DesMchlmcgnn,1284.0,1600.0
Disownedcountry,Disownedcountry,49.0,810.0
Dotmam_NA,Dotmam_NA,3322.0,3075.0
EagleWriter1,EagleWriter1,136.0,263.0
Eapple1145,Eapple1145,27.0,55.0
ElaMMK,ElaMMK,1246.0,418.0
Enginethatcan,Enginethatcan,221.0,118.0
ExSeditio,ExSeditio,55.0,51.0
FSivignon,FSivignon,863.0,209.0
Favstar_Bot,Favstar_Bot,57444.0,1.0
FervidSublimity,FervidSublimity,203.0,85.0
Gayatri__J,Gayatri__J,20040.0,287.0
Ghelardini,Ghelardini,914.0,289.0
H2OFastingFairy,H2OFastingFairy,0.0,2.0
HAHAHA1234677,HAHAHA1234677,17.0,13.0
HDPenglish,HDPenglish,19304.0,330.0
HOLYONEOFISREAL,HOLYONEOFISREAL,6.0,5.0
HarminderjitS,HarminderjitS,5199.0,5139.0
Hasnarayta,Hasnarayta,1339.0,1037.0
Hell6371Iam,Hell6371Iam,179.0,596.0
Herzmolekuel,Herzmolekuel,558.0,210.0
HiddlesFashion,HiddlesFashion,2320.0,454.0
IgnatiusUnderh2,IgnatiusUnderh2,557.0,1098.0
InannaAkbar,InannaAkbar,231.0,461.0
Inayatullah26,Inayatullah26,2521.0,495.0
IneffableIAm,IneffableIAm,46.0,44.0
Iqkaisoo,Iqkaisoo,722.0,24.0
JGuidcei,JGuidcei,208.0,32.0
JMPutnam1,JMPutnam1,8.0,50.0
JRGBonavistaS,JRGBonavistaS,777.0,1028.0
JasonJerome,JasonJerome,651.0,2782.0
JoelieC48Kerr,JoelieC48Kerr,38.0,7.0
Joseph81861768,Joseph81861768,84.0,22.0
KansuYildirim,KansuYildirim,3933.0,713.0
KenHolsclaw,KenHolsclaw,865.0,756.0
KurdisPhoto,KurdisPhoto,17998.0,242.0
LantermozRory,LantermozRory,43.0,64.0
LauriLinnea,LauriLinnea,230.0,173.0
LeeAustin1won,LeeAustin1won,300.0,661.0
LenaGlbert,LenaGlbert,41.0,39.0
LivingOnChi,LivingOnChi,15793.0,3008.0
LizQuilty,LizQuilty,4079.0,1483.0
Love_Moniqueeee,Love_Moniqueeee,3290.0,879.0
MAChiavelliiiii,MAChiavelliiiii,708.0,679.0
MFSTurkey,MFSTurkey,137.0,1174.0
MalakaShwaikh,MalakaShwaikh,10727.0,1078.0
Meerkat292,Meerkat292,94.0,120.0
MeltTheDawn,MeltTheDawn,625.0,607.0
Mheame,Mheame,144.0,256.0
MochiManggae,MochiManggae,1435.0,512.0
Monica_Soul_Air,Monica_Soul_Air,1363.0,2007.0
Montymonkey100,Montymonkey100,4.0,43.0
Moon_Kidnapper,Moon_Kidnapper,1270.0,1208.0
MovilupPolitic,MovilupPolitic,4.0,28.0
NPR,NPR,6908315.0,72592.0
NeerajBhatnag18,NeerajBhatnag18,113.0,178.0
NeeshanB,NeeshanB,1378.0,190.0
Nina72Nebula,Nina72Nebula,30.0,232.0
NinnegalsSonnn,NinnegalsSonnn,13573.0,588.0
Nwankpa_A,Nwankpa_A,33149.0,4666.0
